日期,查询词,搜索uv,搜索pv,曝光uv,曝光pv,点击uv,点击pv,曝光点击率,买家数,订单数,成交额,预测行业
2020-04-08,https://vmspub.weidian.com/gaia/36039/e0d72074.html,9,14,8,36,0,0,,,,,
2020-04-08,永恒夏日,9,16,8,52,0,0,,,,,美妆饰品
2020-04-08,陈立农my girl 周边商城,9,14,8,49,2,2,4.08%,0,0,,服装鞋包
2020-04-08,椰子鞋 350,9,22,8,64,4,10,15.63%,0,0,,运动户外
2020-04-08,耳机,9,14,9,79,2,2,2.53%,0,0,,手机数码
2020-04-08,高丝防晒蔡徐坤,9,12,9,62,0,0,,,,,美妆饰品
2020-04-08,任嘉伦,9,15,7,38,0,0,,,,,文化玩乐
2020-04-08,马嘉祺,9,30,8,118,5,18,15.25%,0,0,,文化玩乐
2020-04-08,阿宝silme,9,14,8,60,0,0,,,,,手机数码
2020-04-08,tmagazine,9,9,7,14,0,0,,,,,生活服务
2020-04-08,零食,9,10,8,44,0,0,,,,,百货食品
2020-04-08,张艺兴,9,21,9,91,2,10,10.99%,0,0,,文化玩乐
2020-04-08,switch,9,10,8,52,1,1,1.92%,0,0,,手机数码
2020-04-08,橘与云,8,10,7,39,0,0,,,,,美妆饰品
2020-04-08,王俊凯,8,12,7,33,2,2,6.06%,0,0,,文化玩乐
2020-04-08,仓鼠活体,8,10,0,0,0,0,,,,,文化玩乐
2020-04-08,长兄如父,8,8,8,52,0,0,,,,,母婴用品
2020-04-08,菜小弟 slime,8,11,6,37,0,0,,,,,百货食品
2020-04-08,娃衣 20cm,8,19,8,108,4,6,5.56%,0,0,,文化玩乐
2020-04-08,婉尔：）slime,8,12,7,59,0,0,,,,,文化玩乐
2020-04-08,华道图书专营店,8,14,7,42,0,0,,,,,文化玩乐
2020-04-08,许佳琪,8,11,7,43,0,0,,,,,家居建材
2020-04-08,蔡徐坤C位出道2周年,8,18,8,59,0,0,,,,,文化玩乐
2020-04-08,趣评测,8,10,9,77,0,0,,,,,手机数码
2020-04-08,lv,8,10,1,2,0,0,,,,,
2020-04-08,原单,8,8,1,6,0,0,,,,,
